[setup] method=GRPO model=Qwen3.5-4B mask=15 train=32 eval=32 world=4 global_batch=32 generations=8 max_steps=100 max_turns=45
[sampling] train_temperature=1.0 train_top_p=1.0 train_top_k=-1 eval_temperature=0.7 eval_top_p=0.8 eval_top_k=20
[optimization] learning_rate=1e-6 beta=0.001 clip=0.2 max_policy_examples_per_step=512 raw_policy_logprobs=true
[train] step=79 reward=0.640625 solved=164/256 avg_turns=15.1016 examples=3866 used=3584 drop=282 kl=0.169367 clip=0.013311 sec=1104.1
[eval] step=80 repeats=3 solved_avg=11.33/32 average=0.354167 std=0.038976
[train] step=80 reward=0.632812 solved=162/256 avg_turns=15.1211 examples=3871 used=3584 drop=287 kl=0.221872 clip=0.014399 sec=1090.5
[train] step=81 reward=0.640625 solved=164/256 avg_turns=15.1484 examples=3878 used=3584 drop=294 kl=0.241429 clip=0.009956 sec=1102.0
[train] step=82 reward=0.652344 solved=167/256 avg_turns=15.1172 examples=3870 used=3584 drop=286 kl=0.230597 clip=0.017267 sec=1098.3
[train] step=83 reward=0.671875 solved=172/256 avg_turns=15.0938 examples=3864 used=3584 drop=280 kl=0.176531 clip=0.010981 sec=1076.0
[train] step=84 reward=0.652344 solved=167/256 avg_turns=15.1250 examples=3872 used=3584 drop=288 kl=0.199155 clip=0.008962 sec=1090.9
[train] step=85 reward=0.652344 solved=167/256 avg_turns=15.1172 examples=3870 used=3584 drop=286 kl=0.223582 clip=0.008449 sec=1103.2
[train] step=86 reward=0.671875 solved=172/256 avg_turns=15.1016 examples=3866 used=3584 drop=282 kl=0.215119 clip=0.011152 sec=1133.5
[train] step=87 reward=0.656250 solved=168/256 avg_turns=15.1172 examples=3870 used=3584 drop=286 kl=0.230892 clip=0.009675 sec=1101.8
[train] step=88 reward=0.679688 solved=174/256 avg_turns=15.1406 examples=3876 used=3584 drop=292 kl=0.211891 clip=0.010041 sec=1120.9
[train] step=89 reward=0.667969 solved=171/256 avg_turns=15.1406 examples=3876 used=3584 drop=292 kl=0.305380 clip=0.007917 sec=1087.1
[train] step=90 reward=0.687500 solved=176/256 avg_turns=15.1016 examples=3866 used=3584 drop=282 kl=0.203760 clip=0.010292 sec=1094.3
[train] step=91 reward=0.671875 solved=172/256 avg_turns=15.2031 examples=3892 used=3584 drop=308 kl=0.194251 clip=0.011025 sec=1103.0
[train] step=92 reward=0.675781 solved=173/256 avg_turns=15.1133 examples=3869 used=3584 drop=285 kl=0.188118 clip=0.009438 sec=1084.5
[train] step=93 reward=0.679688 solved=174/256 avg_turns=15.1406 examples=3876 used=3584 drop=292 kl=0.177551 clip=0.010250 sec=1087.0
[train] step=94 reward=0.679688 solved=174/256 avg_turns=15.1562 examples=3880 used=3584 drop=296 kl=0.183547 clip=0.011229 sec=1102.4
[train] step=95 reward=0.679688 solved=174/256 avg_turns=15.1289 examples=3873 used=3584 drop=289 kl=0.171836 clip=0.010458 sec=1102.6
[train] step=96 reward=0.675781 solved=173/256 avg_turns=15.1484 examples=3878 used=3584 drop=294 kl=0.162936 clip=0.009991 sec=1100.4
[train] step=97 reward=0.683594 solved=175/256 avg_turns=15.1992 examples=3891 used=3584 drop=307 kl=0.196236 clip=0.010636 sec=1093.1
[train] step=98 reward=0.691406 solved=177/256 avg_turns=15.1211 examples=3871 used=3584 drop=287 kl=0.338760 clip=0.010647 sec=1096.7
[train] step=99 reward=0.695312 solved=178/256 avg_turns=15.1172 examples=3870 used=3584 drop=286 kl=0.162982 clip=0.010974 sec=1080.2
[eval] step=100 repeats=3 solved_avg=13.00/32 average=0.406250 std=0.025516
[train] step=100 reward=0.703125 solved=180/256 avg_turns=15.1289 examples=3873 used=3584 drop=289 kl=0.172903 clip=0.011007 sec=1102.5
